Model,MAE,RMSE,R2
Linear Regression,4.806345285951859,6.0400735111828965,0.586416063296556
Random Forest (default),3.178896000146247,4.0042886485494495,0.8182267525291333
Random Forest (tuned),3.139232457629268,3.9293770837941313,0.8249643022227386
