Model,MAE,RMSE,R2
Stacking (Ridge meta-model),3.113718734888744,3.9149007862837335,0.826251631610242
Weighted Ensemble (RF 0.55/XGB 0.45),3.1140642261949285,3.915968508102239,0.8261568449313503
Random Forest,3.1251918193730983,3.9310771034366785,0.8248128133288908
XGBoost,3.1404862147066903,3.955025164958377,0.8226718364159276
